"","geneid","gene_name"
"788","FBgn0025620","CG13360"
"789","FBgn0025621","CG16989"
"790","FBgn0025625","Sik2"
"791","FBgn0025629","CG4045"
"792","FBgn0025634","CG13367"
"793","FBgn0025637","SkpA"
"794","FBgn0025638","Roc1a"
"795","FBgn0025640","CG13369"
"796","FBgn0025676","CkIIalpha-i3"
"797","FBgn0025678","CaBP1"
"798","FBgn0025680","cry"
"799","FBgn0025684","MFS18"
"800","FBgn0025686","Amnionless"
"801","FBgn0025693","ZnT41F"
"802","FBgn0025697","santa-maria"
"803","FBgn0025700","CG5885"
"804","FBgn0025702","Srpk79D"
"805","FBgn0025712","CG13920"
"806","FBgn0025720","Ate1"
"807","FBgn0025725","alphaCOP"
"808","FBgn0025726","unc-13"
"809","FBgn0025740","PlexB"
"810","FBgn0025741","PlexA"
"811","FBgn0025790","TBPH"
"812","FBgn0025814","Mgstl"
"813","FBgn0025820","JTBR"
